Cutting of pipework Road Crossing & laying in verge Water Mains,Dust inhalation,FFP-3 face masks to be worn by operatives when cutting and dust suppression water bottle to be used
installation of fence posts,lifting operations,area cordoned off permit to lift to be issued and briefed lift plan to be issued loading supervisor or appointed person in place all lifting equipment and accessories to be checked against safe working loads swl correct ppe control weather condition trained and competent operatives
installation of fence posts,environmental,plant nappy placed under generator
installation of acos,temporary storage materials striking a train,do not stack palletised materials in case they become unstable
installation of acos,environmental,plant nappy placed under generator
installation of acos,buried services,mark up and support if necessary
materials relocation work.,staff being struck by a train or otm,works on station platforms in high street environment controlled by site keeper or barriers
stone trim and compaction,refuelling plant,appropriate ppe to be worn refuelling of plant is to be undertaken away from the work area
installation of fence posts,encountering damaged cables,notification to the utility service if the service is seen to be suspect
stone trim and compaction,temporary storage materials striking a train, keep access routes clear of tools
stone trim and compaction,falling object.,use of suitable personal protective equipment ppe head protection consider personal positioning and be aware of adjacent activities
muck away,plant vehicle movements,segregate pedestrian and vehicle routes banksman to manage plant and vehicle movements
stone trim and compaction,coshh,exposure times as per coshh assessment states
materials relocation work.,buried services, avoid continuous exposure
installation of containment,interface with members of the public,all gates kept locked when not in use
installation of containment,dust,dust suppression to minimize emission
muck away,contamination,gloves to be worn at all times
installation of temporary works,hazard substance.,trained and experienced operatives
installation of fencing,coshh,do not leave coshh with medium risk unattended
delivery of materials via telehandler,temporary storage materials striking a train, keep access routes clear of tools
installation of lighting columns,working at height,other methods of works must be considered prior
installation of cables,falling object., materials to be correctly stored 
installation of concrete wedge,falling object.,use of suitable personal protective equipment ppe head protection consider personal positioning and be aware of adjacent activities
installation of cables,storing materials track side,store materials in secure locked containers wherever possible
installation of lighting columns,use of power tools,inspection of equipment prior to use
installation of lighting columns,interface with members of the public,keys removed from plant when not in use
installation of concrete wedge,temporary storage materials striking a train,employ site security personnel site access controllers where appropriate
installation of lighting columns,havs,daily havs exposure need to be recording and monitoring
installation of lighting columns,falling object.,use of suitable personal protective equipment ppe head protection consider personal positioning and be aware of adjacent activities
installation of lighting columns,storing materials track side,wherever possible remove all materials and equipment from site at the end of each shift
brickwork repairs,falling object.,use of suitable personal protective equipment ppe head protection consider personal positioning and be aware of adjacent activities
installation of lighting columns,plant equipment loading damages new and existing platform construction,assessment of the existing structures
brickwork repairs,mobile telephones,mobile telephones to be switched off unless required for safety critical management duties
brickwork repairs,working at height,permit to work at height in place
installation of back of platform fence posts and pinkerbs,buried services, use of curotec system to monitor exposure levels
material delivery and muck away within compound,lifting operations,display warning signs
delivery of materials via highways,excavation,inspections of all excavations to be carried out at the start of every shift and after inclement weather
delivery of materials via highways,excavation,access into excavations to be restricted to necessary persons only
tarmac installation,disruption to local residents,machinery to be switched off when not in use
brickwork repairs,manual handling,split loads into manageable lifts 2 man lifts if required
tarmac installation,environmental,plant nappy placed under generator
brickwork repairs,coronavirus covid ,social distancing always
muck away from satellite compounds,plant movement,exclusion zone banksman qualified operator plant daily inspection check sheet
stoning up,coshh,exposure times as per coshh assessment states
stoning up,hazard substance.,trained and experienced operatives coshh certs to be in place and operatives briefed
stoning up,buried services,select power tools with lowest vibration levels
installation of tactiles adhesive stick on.,temporary storage materials striking a train,store materials in secure locked containers wherever possible
installation of tactiles adhesive stick on.,coshh,exposure times as per coshh assessment states
muck away from satellite compounds,ohle,all hand tools used at a time the ohle is live must not go within 275m of the ohle
excavation works.,plant vehicle movements,close all access gates following deliveries
excavation works.,excavation,where excavations need to remain open adequate fencing to be installed to prevent authorised access
ducting works.,coshh,coshh to be stored in coshh approved area/storage containers
ducting works.,encountering damaged cables, exclusion zone established around the damage cable
ducting works.,plant vehicle movements,segregate pedestrian and vehicle routes banksman to manage plant and vehicle movements
brickworks repair.,hazard substance.,use under technical and manufactures specifications wear correct ppe overalls
brickworks repair and white lining.,syringes sharps," exclusion zone to be established around the sharps, where possible barriers erected"
brickworks repair and white lining.,contamination,contact with contaminated locations identified in the hazard directory to be avoided
brickworks repair.,staff being struck by a train or otm,coss appointed for works on or near the line
delivery and installation of coper.,noise,hearing protection in place exclusion zones around driving activities ear defenders during multiple acoustic blankets to be used on nights to reduce noise pollution use of a ped-roller to compact tarmacstone and other manual tools over mechanical vehicles to have engines switched off when not in use
installation of copers and tactiles,noise,hearing protection in place exclusion zones around driving activities ear defenders during multiple acoustic blankets to be used on nights to reduce noise pollution use of a ped-roller to compact tarmacstone and other manual tools over mechanical vehicles to have engines switched off when not in use
installation of copers,plant movement.,exclusion zone to be established
installation of copers,plant movement.,plant inspection
installation of copers and tactiles,loading platform with plant and materials.,adequate exclusion zone to be marked out in accordance to the permanent afc design
installation of copers and tactiles,lift operation.,all lifting accessories to be checked visually against any defects
installation of copers and tactiles,loading platform with plant and materials.,adequate exclusion zone to be marked out in accordance to the permanent afc design
satellite compound elas,Encountering Damaged Cables,Remote visual inspection to determine damage to cables before inspection/measurement
installation of concrete edgings.,syringes sharps,operatives to be briefed on the presence of the sharps
moving the excavator,contamination,gloves to be worn at all times
tarmac works.,mobile telephones,mobile telephones to be switched off unless required for safety critical management duties
completion works.,refuelling plant,ensure only trained personnel are used to refill any plant on site appropriate ppe is worn at all times
de-veg works in compound,excavation, a temporary works assessment to be carried out in advance and if required twd to be implemented
de-veg works in compound,plant vehicle movements,close all access gates following deliveries
de-veg works in compound,syringes sharps, exclusion zone to be established around the sharps
compound establishment,refuelling plant,nappies to be placed under the plant when refuelling and funnels are used to ensure direct access into fuel tank
compound establishment,working on or near the line,"support staff will set up the ssow in accordance with rule book, task leader setting up a safe system of work within a possession be aware of the operational railway"
compound establishment,encountering damaged cables," avoidance of cables where practicable, otherwise work only under safe conditions determined by competent personnel on site"
rrv platform demolition,syringes sharps,operatives to be briefed on the presence of the sharps
rrv platform demolition,syringes sharps,take note of the location and inform sco 247
rrv platform demolition,staff being struck by a train or otm,pts trained workforce and supervision
brickwork repairs,excavation,barriers to be installed at least 1m from top of excavations to maintain exclusion zone
rrv platform demolition,manual handling,split loads into manageable lifts 2 man lifts if required
reduced level dig,buried services, use of curotec system to monitor exposure levels
reduced level dig,buried services, ensure tools are properly stored
installation of ducts and chambers,refuelling plant,nappies to be placed under the plant when refuelling and funnels are used to ensure direct access into fuel tank
installation of ducts and chambers,refuelling plant,ensure only trained personnel are used to refill any plant on site appropriate ppe is worn at all times
reduced level dig,staff being struck by a train or otm,pts trained workforce and supervision
reduced level dig,hazard substance.,trained and experienced operatives coshh certs to be in place and operatives briefed
installation of ducts and chambers,syringes sharps,do not disturb if encountered
removal of spoil via rrv,manual handling,split loads into manageable lifts 2 man lifts if required
removal of spoil,hazard substance.,use under technical and manufactures specifications wear correct ppe overalls
280mm pe sdr11 rising main installation., weather and winter working,refer to winter working & driving conditions rams
 compound maintenance works, refuelling plant, emergency spillage clean-up companies to be in place prior to works starting in case of incident all fuel to be stored in correct containers which are appropriately labelled 
 compound maintenance works, syringes / sharps, do not disturb if encountered 
 compound maintenance works, coshh, coshh to be stored in coshh approved area/storage containers 
 platform gauge survey, working on or near the line, inexperienced staff will be accompanied by a mentor 
 platform gauge survey, syringes / sharps, do not disturb if encountered 
 platform gauge survey, contamination, gloves to be worn at all times 
 installation of tactile, noise,hearing protection in place exclusion zones around driving activities ear defenders during multiple acoustic blankets to be used on nights to reduce noise pollution use of a ped-roller to compact tarmac/stone and other manual tools over mechanical vehicles to have engines switched off when not in use
stone trim and compaction,coshh,coshh assessments to be completed for all products on site
stone trim and compaction,coshh,coshh assessments to be completed for all products on site
installation of acos,coshh,coshh assessments to be completed for all products on site
 installation of tactiles, coshh, ppe to be worn as recommended by coshh assessment 
reduced level dig,coshh,coshh assessments to be completed for all products on site
 installation of stick-on tactiles, syringes / sharps, all staff to remain vigilant and if encountered vacate the area 
 installation of stick-on tactiles, manual handling, split loads into manageable lifts 2 man lifts if required 
 installation of tactiles, noise,hearing protection in place exclusion zones around driving activities ear defenders during multiple acoustic blankets to be used on nights to reduce noise pollution use of a ped-roller to compact tarmac/stone and other manual tools over mechanical 
 installation of tactiles, public interface,only licensed vehicles on public highway care around parked cars no plant to park on pavements caution to be exercised when at crossings and pavements banksman control at site entrances 
 installation of tactiles, syringes / sharps, take note of the location and inform sco 24:7 
 installation of tarmac strip, syringes / sharps, take note of the location and inform sco 24:7 
 installation of tarmac strip, syringes / sharps, do not disturb if encountered 
 installation of tarmac strip, coronavirus / covid-19,social distancing always 
 survey works, staff being struck by a train or otm, works on station platforms in high street environment controlled by site keeper or barriers 
 survey works," injury from use of powered tools, plant and work equipment  havs, noise, dust / debris, fuel fire / spills, personal injury.",only to be used by persons trained and certified keep hands warm and regular rotation of operatives to share havs exposure trigger time to be pre-calculated and individuals times to be clearly monitored by the site supervisor/team leader above 85db ear protection is mandatory 
 delivery of plant and materials., public interface,only licensed vehicles on public highway care around parked cars no plant to park on pavements caution to be exercised when at crossings and pavements banksman control at site entrances 
 delivery of plant and materials., refuelling plant, all fuel cans to be stored in a safe place to prevent a spark or fire funnels to be utilised as to ensure fuel is poured straight into tank avoiding spillages 
 delivery of plant and materials., syringes / sharps, all staff to remain vigilant and if encountered vacate the area 
 installation of tarmac strip, contamination, eating only permitted in vehicles after hand cleaning 
 survey works, mobile telephones," if the need to use a mobile telephone arises you must agree with the supervisor/coss that you can use it, and only when in a position of safety signs and barriers to be erected to define the area "
Placing 150mm od sewer rising main,incident at traffic control site entrance ,a combination padlock is in place with deliveries needing to contact site management or other designated for access gate to be closed at all times as is a private road banksmen to control traffic while delivery vehicle enter & exit site
excavate trial holes, silt deposits pollution release of groundwater from excavations and rainwater run off, ensure surface water and land drainage plans are available prior to works commencing where possible
 Odour Control & Potable Water,hazardous material,manual handling techniques when lifting loads you are capable of lifting (do not exceed 20kg)
site establishment ," offloading cabin units, generator and materials – lifting operations",general lifting plan to be prepared ms/ra or appropriate details sufficient for store / cabin delivery to be supplied by hire company following a site visit (particular attention is to be made of any access constraints)
ducting including draw pits, manual handling,assess loads prior to lifting know the weight of objects before attempting to lift maintain good lifting posture avoid repetitive lifting where possible split down heavy / awkward loads take breaks when digging out tracks and clearing down plant
ducting including draw pits, whole body vibration (wbvs),"ensure seats are adjusted for plant being used to driver’s weight / height ensure breaks are taken outside the machine (if inside, ensure engine is turned off)"
installation of ducts and chambers,coshh,do not leave coshh with medium risk unattended
HGVs & fleet vehicles,Condition of vehicle, Report vehicle defects to the Workshop manager
using HGVs & fleet vehicles,Driving & Weather conditions,Maintenance to be carried out in accordance with the manufacturers schedule and applicable legal requirements
using hgvs & fleet vehicles,Behaviour," Do not attempt dangerous manoeuvres, especially when overtaking"
satellite compound elas,COSHH, Do not leave COSHH with medium risk unattended
280mm pe sdr11 rising main installation.," local landscape, ecological features and inhabitants pollution/damage to ecological features and inhabitants due to use of hazardous substances"," fire, first aid and spill clean up equipment / containment measures shall be available appropriate to the hazardous substances encountered on site"
" safe use of dumpers, driving & manoeuvring, loading & unloading ",Crushing or running over of ground personnel/pedestrians.,"Driver to be vigilant at all times & be aware of plant, pedestrians & surroundings"
 excavation and backfilling works., coshh, do not leave coshh with medium risk unattended 
 hgvs & fleet vehicles,"Attitude, behaviour",Remain calm at all times whilst driving
installation of back of platform fence posts and pin kerbs,buried services,select power tools with lowest vibration levels
installation of back of platform fence posts and pin kerbs,buried services, ensure tools are properly stored
white lining,manual handling,split loads into manageable lifts two man lifts if required face shields to be utilised
general surfacing operation - use of paver,Use of Paver Slips or trips in area of operation Operator slippingtripping during access/egress from paver Contact with hot screed - serious burns,clothing on fire Contact with heaters hot surfaces on machine - serious burns
 installation of tarmac strip, working on nights,adequate task lights familiar with work site use of datascope for fatigue management 
temporary platform construction," hand tools (cuts, abrasions, minor injuries)", replace any broken or damage tools
laying slabs to form footpaths, contamination of existing watercourses control of water runoff from topsoil stockpiles,silt fencing to be installed as per manufacturers instructions topsoil piles to be kept to a maximum 1m high topsoil to be sealed up to prevent water ingress
temporary wooden electrical enclosure build & install," excavation works – contact with services. risk of explosion, electrocution, and flooding.", all trial hole excavation works to locate services to be undertaken by hand digging only
temporary wooden electrical enclosure build & install," excavation works – contact with services. risk of explosion, electrocution, and flooding.", excavation works to be covered by a permit to dig
hand dug trial holes to locate services, adverse weather conditions,"site manager to undertake regular assessment of ground conditions before each shift commences, during and after heavy storms daily weather forecast to be available and provided to the site team during the morning brief operatives to cease work when conditions become unsafe and assess whether to supply rock salt"
dust suppression for bulk earthworks, nuisance to operatives/ neighbours. noise pollution, noise monitoring to take place upon site establishment and upon any significant changes thereafter to establish noise levels
service trial holes," slips, trips and falls",good housekeeping to be maintained at all time all tools and materials to be kept tidy
service trial holes, coshh, full ppe required will be on site for issue and must be used correctly and kept in good condition
engineering and surveying duties," pollution of drains, sewers, watercourses concrete included in anticipation of start of construction work", in designated washout skip surplus concrete to be reused where possible or disposed of in a designated area and crushed later
pipework installation and grading work, local landscape petroleum products and refuelling operations, fuels carried in approved containers and no more than 2 gallons per vehicle at any one time
pipework installation and grading work, havs, adopt a comfortable stance when using vibrating tools – tense muscles increase ill effects
digging trial holes, working next to structure and services, if undermining of structures is required a full temporary works system must be applied to this work any work required to undermine services are not to progress until suitable support equipment is in place for the service to be protected
digging trial holes," slips, trips and falls", provide a hand rail on each side of steps and place signs informing users to hold the hand rails
installation of drainage pipework gullies and manholes, collision of vehicles/collision with site personnel/collision with construction plant/ collision with members of public,"warning signs will be erected and a speed limit of 10mph will be enforced mobile plant to be fitted with cctv cameras wherever possible provision of a trained slinger signallers to control all operations pedestrian routes to be set up and signed full ppe to be worn by anyone entering site, access will be refused to any person without ppe trained, competent operatives with cpcs seat belts to be worn at all times"
installation of drainage pipework gullies and manholes, ground conditions/uneven ground/overturning vehicles and plant,"haul routes to be maintained unloading/tipping areas to be level and maintained in good condition excavators to lift within capacity of machine using prolec/ lifting charts/lifting plan at all times slinger/signallers to stand clear during manoeuvring/unloading and loading operations tipper bodies to be lowered immediately after tipping construction plant to avoid traversing on slopes mobile plant/excavators to stay clear of open excavations trained, competent operatives with cpcs seat belts to be worn at all times"
installation of drainage pipework gullies and manholes, gradient of pipe alters resulting in backfall floatation of pipe during concreting operations( if surrounded in concrete),ballast pipe with water secure pipe with stakes/pins to sub grade use semi dry mix concrete
breakout 600mm pipe and bench up, contamination of surface water / water courses / treatment works fuel spillages, all oil containers are to be securely locked away to stop unauthorised access
breakout 600mm pipe and bench up, high water / flooding,monitor water levels to allow access to excavations
"concreting, reinstatement & footpath construction", toxic gases," no one is required to put head below sides of excavation in the event of fumes/odour appearing during excavation, stop work, secure the excavation and report to the site manager/supervisor immediately gas monitor to be on site and in work area at all times as works proceed"
site traffic & delivery plan, overturning of vehicles during manoeuvring/tipping, tipper backs will be lowered immediately after tipping
site traffic management, ppe, any issues will be raised with supplier
over pumping of existing 300mm & 225mm pipe," slip, trips, falls", avoid walking on the embankment as much as possible maintain good access and housekeeping to keep work area clear of obstacles run pipes out of walkways and pedestrian zones where possible
over pumping of existing 300mm & 225mm pipe, working at heights,works on existing slope (see above risks and control measures) open mh’s to be fenced off
over pumping of existing 300mm & 225mm pipe," slip, trips, falls", stone has been compacted and footpath is flat
working on floating pontoon, plant operating on sloping ground / risk of overturning, competence cards to be checked during inductions and toolbox talk plant operators
working on floating pontoon, leptospirosis (weils disease), any cuts or grazes on hands or wrists to be covered with a plaster before commencing work
spel tank, legal duties muck away, wtn’s to be in place
manual handling activities, moving loads," where more than one level is involved, the transition should preferably be made by a gentle slope or, failing that, by well-positioned and properly maintained set of steps"
site clearance & reduced dig – caustic area, noise, don’t keep machinery running unnecessarily
"excavation to sludge tank, formation and pipework ", uncontrolled moving of materials, trained operators only to use lifting equipment/machine correct personnel & rams to be used for off loading
"excavation to sludge tank, formation and pipework ", not to specification unable to install shutters section correctly concrete finish,"inspection and check carried out by engineer, before concrete poured experienced operative to place concrete and finish to required spec cover if necessary to protect do not rush the finish set up correctly as per the detail shown"
civil modifications at existing chemical dosing shower position, plant movements, assess light condition before plant going out on to site do not walk up blind side of machine
trial holes for connection points, overhead/buried services, hand digging trial holes so as to locate the services
civil works in new compound, abrasive wheels,hot works permit to be issued prior to any works starting
civil works in new compound, weather conditions, cease work when conditions become unsafe or flooded
inspection for mechanical completion & oil change ," restricted space around transformer, cables on bund floor possibly leading to slips and trips.","ensure good personal awareness of area, be careful when walking over cables"
working at night," slips, trips and falls", personnel to maintain a high level of awareness of their surroundings at all times
working at night," slips, trips and falls", ensure boots are in good condition and clean
working at night," slips, trips and falls", dismount facing the machinery using 3 point of contact climbing technique
Access | Egress to work area and around site,"Falling over, sprains, collision, trips, collision & Entrapment Slips and Trips, collision injuries access for other site users. Existing site hazards"," Be careful when walking on uneven ground, check the route for obstacles and remain vigilant"
Cutting of pipework Diversion on Potable Water Main,HAVS, Operatives will not exceed daily allowances for HAV exposure
Breaking concrete ,"Deafness, HAVS, blindness Noise, flying objects, Dust"," Operative to wear Correct eye, ear and hand protection"
delivery or collection of plant and equipment, impact from traffic cont.,only competent and authorised persons to operate mobile plant
sweeping and site preparation, vehicle impact, use of banksman to reverse vehicle if the area is busy or restricted for space
sweeping and site preparation, vehicle impact, ensure that audible reversing alarm and lights are fully functional
Slinging of Loads ,Load falling onto Personnel and property Falling objects,Loads to be properly slung using the integral lifting points on each unit
shoveling or raking bituminous material, struck by moving vehicle, only trained and competent persons to operate plant
 removing cats eyes or stick on studs,"Cuts, Abrasions, Splinters from tools",Wear gloves and suitable eye protection
 use of chipper,Environmental damage from tar and oils when paver parked, Use of bridgeable cleaner for cleaning paver
Working In Live Traffic/Putting Traffic Management In Place,"Impact from live traffic for pedestrians, serious injury or death",Advance warning signs to warn traffic & pedestrians of works & suitable Traffic Management 
Topsoil Strip and excavating service ducts. ,"UNDERGROUND SERVICES Risk: Personal injury, death or damage to property, due to striking services (electric, fibre optic and sewage, etc).", Services in concrete will be isolated before breaking operations begin
 Removal/installation of pwk in food waste plant,Operatives receiving muscular and skeletal injuries by incorrect lifting practices Manual handling,"Operatives to lift no more than 20kg on their own, if load is heavier then two operatives should lift together or seek mechanical aid"
DIGGING TRIAL HOLES,Operatives exposed to chemicals and toxins when using substances Contact with CoSHH substances,Non-perforated gloves to be worn when using
Handling Materials GALLERY SUMP PUMP TEMPORARY DIVERSION,"Dermatitis, cuts and bruises COSHH Damage to skin, water contact. Mechanical lifting", COSHH assessments will be made available and communicated to the operatives who are using chemicals and correct PPE issued and worn
using hgvs & fleet vehicles,Route planning,Age of vehicle to be taken into consideration when applying the purchasing policy and maintenance regime
 Removal of Existing Digester Pipework interior/exterior,"attempting to lift more than the lifting equipment is capable of, and lift failure occurring Lifting Operations","All slings, shackles etc will be tested every 6 months, and thoroughly checked before each lift only trained ops to use overhead crane"
Construction Works Ductile pipework Installation,Vision impaired due to weather! Rain causing issues with light eye protection Vision impaired,Dynamic risk assessment to assess weather work can be done safely without light eye protection
Nitrogen Purging of Biogas Main,Manual handling,"Operatives to lift no more than 20kg on their own, if load is heavier then two operatives should lift together or seek mechanical aid"
 RAM Pump Adoption,"Fire, explosion, chemical burns to lungs, toxic poisoning, lung cancer, other cancers, death. Gas ingress", Atmosphere to be monitored at all times
Construction Ductile pipework Installation,"Areas untidy materials causing trip hazards Slips, trips & falls",Work area to be kept clean & tidy at all times
Stacking and unstacking Odour Control & Potable Water,Unexpected moving items, Materials should be checked for sharpness and points and subsequently protected before being left
 hand lay and use of wheelbarrows,Manual Handling Bending Stooping Lifting wheelbarrow to discharge material, Use correct lifting techniques
Placing Concrete Gas Bag Area,Dermatitis, Any contact with skin should be washed thoroughly with tap water
Construction Gas Bag Area,"Slips, trips & falls", All trip hazards removed immediately
 Generic Cleaning Site Offices,Fatality Burns Minor injury Fire / explosion,Keep safe distance away from burning vehicles
Drilling for fixing bolts -,"Injury to operators Dust, Injury from debris, Noise, HAVS", Complete HAVS diary to ensure cumulative exposure limits are not exceeded
General Use of Road Planer Milling Operations,Risk of Overturn,"When changing wheel/track position, ensure machine is on level and stable ground"
using hgvs & fleet vehicles,Behaviour, Allow plenty of time for your journey
using hgvs & fleet vehicles,Route planning, Plan your journey in advance
 Generic Cleaning Site Offices,Minor injury vehicle, Ensure vehicle is parked away from oncoming traffic
 construction of dam and outfall, hav (hand arm vibration),vibration magnitude of all power hand tools known and maximum usage in an 8 hour shift worked out using the hse hav calculator
 construction of dam and outfall, working with plant, operatives briefed never to place themselves beneath the bucket of the excavator
 construction of dam and outfall, working with plant, operatives must not be in the excavation when the machine is digging
280mm pe sdr11 rising main installation., local landscape petroleum products and refuelling operations, check hoses and valves on a regular basis and lock when not in use
280mm pe sdr11 rising main installation., local landscape petroleum products and refuelling operations, don’t overfill mobile/static plant
280mm pe sdr11 rising main installation., havs, only use well maintained powered hand tools and attachments
280mm pe sdr11 rising main installation.," local landscape, ecological features and inhabitants pollution/damage to ecological features and inhabitants due to use of hazardous substances", all persons shall follow control measures contained within ra/ms
280mm pe sdr11 rising main installation., unplanned cutting down and damage to trees and hedgerows working around trees and hedgerows, use an approved landscape contractor when carrying out tree/hedge removal or branch loping
contact tank & pumping station underslab pipework & ducts, collapse of excavation, cart away to subsoil stockpile on rented strip of armstrongs land
engineering and surveying duties, operative struck by plant. / crush zones for plant / dumpers not fitted with proximity sensors included in anticipation of start of construction work, never enter swing radius of excavators unless the bucket is grounded with the and op aware of your presence (hand communication/verification)- operator to keep mirrors and windows clean to aid visibility
traffic management plan, deliveries," the wagon will then leave the site, all the activities above will be under the supervision of a banksman"
 site set-up, electrical hazards, rcd (residual current device) test button to be pressed and then re-set once a week use separate register to record weekly inspections displayed at each cabin rcd
contact tank & pumping station underslab pipework & ducts, slips & trips, otherwise grade areas to avoid uneven ground
 site set-up, electrical hazards,electrical subcontractor to electrically connect all cabins from distribution board
 site set-up, electrical hazards, cabin electrically tested and test cert available for inspection
 service reservoir confined space entry – asbestos survey, exhaust fumes,"diesel / petrol equipment - make adequate provision for exhaust fumes, plant to be sited accordingly (down wind of operators or others)"
 service reservoir confined space entry – asbestos survey, manual handling, ramps to be used to load/unload larger wheeled items of plant from the van
contact tank & pumping station underslab pipework & ducts, coshh, dispose of unused materials in accordance with the safety data sheet
 removal of palisade fencing at linden avenue and nwl boundary., buried services, the area will be cat scanned and all known services marked up and a permit to dig issued
 removal of palisade fencing at linden avenue and nwl boundary., noise pollution to surrounding areas noise, use of acoustic fencing around significant noise sources
