0,1,2
drainingandflooding wetlands,"nesting birds,nesting birds,nesting birds,nesting birds,nesting birds","report any findings immediately,toolbox talk to be delivered to all personnel on site,obtain advise prior to starting works that may have an impact on nesting birds this includes devegetation and noisy works,where possible work outside of breeding seasons,visual checks to be carried out daily"
drilling for fixing bolts,"injury to operators dust injury from debris noise havs,injury to operators dust injury from debris noise havs,injury to operators dust injury from debris noise havs,injury to operators dust injury from debris noise havs,including human factors such as behaviour and individual capability","complete havs diary to ensure cumulative exposure limits are not exceeded,exclude persons not associated with activity,ppe and personal gas detectors to be worn at all times,dust masks eye and hearing protection to be worn,control measures must be accepted and effectively implemented"
ducting including draw pits,"manual handling,whole body vibration wbvs,disruption habitat destruction ecology,mechanical lifting of loads,noise,buried services,hand arm vibration havs,damage to ducts poor workmanship not to spec ducting,plant and operative collision,weather conditions,slips trips falls,excavation collapse,contamination coshh,requires rework finished levels incorrect,overturning vehicles when tipping of loads,severe damage fire to local vegetation,overturning whilst traversing slopes","assess loads prior to lifting know the weight of objects before attempting to lift maintain good lifting posture avoid repetitive lifting where possible split down heavy and awkward loads take breaks when digging out tracks and clearing down plant,ensure seats are adjusted for plant being used to driver’s weight and height ensure breaks are taken outside the machine if inside ensure engine is turned off,an environmental advisor will review the local areaandenvironment before any works begin and report any significant findings care to be taken during all site operations to ensure there is no damageandvandalism to the local environment,all lifts in accordance with lift plans no lift plan = no lift designated slingerandsignaller pre use inspection on all lifting accessories minimal lifting required for activity,ear protection will be readily available on site and worn where required ear protection zones will be set up as required noise assessments will be undertaken as and when required,site service drawings to be reviewed permit to dig system used and adhered to area to be cat scanned prior to digging known services to be marked out along route prior to digging service clashes to be highlighted immediately services crossing trenches to be supported,havs restrictions in place do not use unauthorised plants and tools,follow drawings and water site spec itp check sheet for ducting followed and signed off,works areas to be segregated and pedestrians to be kept away from plant operatives to signal plant operators before approaching plant operatives shall always maintain visibility of plant when accessing works areas never walk or stand close behind mobile plant designated access routes to be in place and clearly marked morning briefing to establish accessandegress requirements and exclusion zones for pedestrians,5 day forecasts to be obtained to assist with forward planning and communicated in briefing ensure site roads are kept clean and clear of debris,areas to be kept clear and tidy uneven ground to be maintained any trip hazards to be removed all shallow excavations with steps to be marked and fenced off access and egress of machines to maintain 3 points of contact operatives to pull machines up to flat and even ground before dismounting,excavation to be open cut as per temporary works schedule side slopes to be stepped back at 500mm x 500mm steps access to be cut with 250mm x 250mm steps top of excavation to be demarcated with redandwhite chain link 1,on site safety procedures for managing and using hazardous substances coshh data sheets to be provided suitably sized spill kits onsite hazardous substances to be covered in rams,engineer to dig levels set out and sign off install prior to concrete pour authorisation to pour from engineer prior to concrete install where ducts are concrete encased,tipping on flat and even ground operatives to stand clear of wagon when tipping in view of delivery driver no tipping within the goal posts,fire extinguishers to be within working area at all times no smoking allowed on site except within designated smoking area all cigarette ends to be put out in fire bucket filled with sand if any hot works are permitted ensure that a cooling time is established and monitored from the last hot works activity undertaken,traversing of slopes steeper than 1v:8h is prohibited in wheeled plant traversing of slopes steeper than 1v:4h is prohibited in tracked plant avoid traversing slopes and work perpendicular to slopes or from flatandeven ground cut benched into slopes if possible"
dust suppression for bulk earthworks,"nuisance to operativesand neighbours noise pollution,persons struck by plant,litter blowing around site windblown waste and litter,collision of plant,vehicles traversing on slopes,physical injury to operatives while cleaning and maintenance,noise,nuisance to operativesand neighbours noise pollution,physical injury to site engineer or banksman,contamination of existing watercourses control of water runoff from topsoil stockpiles,nesting birds bats badgers reptiles and amphibians gcn otter and water vole also bio security ecology,persons struck by plant,persons struck by plant,vehicles traversing on slopes,collision of plant,collision of plant,vehicles traversing on slopes,soft and unstable ground,persons struck by plant,noise,overturning of vehicles during manoeuvringandtippingand stockpiling,mechanical failure,noise,mechanical failure,contamination of the existing watercourses fuel spillage,mechanical failure,noise,nuisance to operativesand neighbours noise pollution,nesting birds bats badgers reptiles and amphibians gcn otter and water vole also bio security ecology,nuisance to operativesand neighbours noise pollution,persons struck by plant,physical injury to site engineer or banksman,nesting birds bats badgers reptiles and amphibians gcn otter and water vole also bio security ecology,persons struck by plant,weather conditions,noise","noise monitoring to take place upon site establishment and upon any significant changes thereafter to establish noise levels,keep pedestrians routes away from plant where possible,site waste management plan developed separate waste skips for separate waste provided enclosedandcovered skips and bins provided,one way systems in operation where possible,to be avoided at all times tractor and bowser to suck water from existing ditch adjacent to the eastern bund ground conditions to be monitored and works stopped if dust suppression is no longer required ie no dust,machines to be turned off and isolated during cleaning and maintenance,ear protection zone to be established where noise levels are greater than 85db,hearing protection mandatory at 85db,stay in safe zone of machines at all times,silt fencing to be installed as per manufacturers instructions topsoil piles to be kept to a maximum 2m high topsoil to be sealed up to prevent water ingress,refer to environmental action plan and update regularly nesting birds bats badgers reptiles and amphibians gcn otter and water vole bio security tbt will be carried out,keep mirrors and windows clean and adjust to suit driver,do not approach machines unless driver has eye contact,no lone working,morning briefing to make all site personnel aware of plant movements,adjust driver aides mirrors etc,at least 2 people to be present when filling bowser,no plant to access to areas of softandunstable ground no engineers to access softandunstable ground until it has been made safe to do so,use mobiles in designated areas,noise levels obtained from the supplier catalogue,tipper backs will be lowered immediately after tipping drivers will wear seat belts at all times when moving,test certs for machines,wear ear protection when near to running plant subject to noise levels,inspection of plant carried out daily,fuel storage tanks either to be selfbunded refuelling undertaken on a plant nappy or drip tray spill kits available inspected regularly and maintained in good working order spill kit drill to be undertaken within 2 weeks of site setup,make site management aware of any faults,signage to be erected,hearing protection to be made available on request at 80db,visual checks to be carried out daily,noise levels of generator and all plant to be provided by manufacturer and recorded,all personnel on site to wear high visibility clothing,keep to designated routes where practicable,report any findings,do not walk up blind side of 360 excavators,work to cease before haul routes become impassable or rutted due to heavy rain weather forecasts to be obtained to assist with forward planning and communicated in briefing low parts of site will be extremely wetandboggy and susceptible to heavy rainfall,where noise levels are greater between 80 to 84db personnel will be told that hearing protection is advisable"
east abutment pcc panel and embankment install,"road collisions injury to ops injury to public death damage to property traffic management,electrocution shattered disc injury to eyes cuts,injury death property damage unbalanced load","apc barriers in place to protect workforce,grinder tools to be checked at start of every shift,loads to be lifted only as per specified in lift plan"
erection of access,condition of vehicle,all walkway brackets to be constructed by suitably qualified competent and approved operatives
erection of tw and access,"condition of vehicle,safety features,condition of vehicle","a permit to load to be issued prior to all frc works is carried out,jos to ensure daily checks are carried out to all tw before shift commence all formwork and working platforms to incorporate suitable access and egress points via tied ladder and access gates,use of tw jos scaftag system to show satisfactory inspections are in place"
excavate trench to allow the installation of temporary electric cables,"slips trips and falls,slips trips and falls,noise and vibration,manual handling,manual handling,manual handling,excavation works  contact with services risk of explosion electrocution and flooding,adverse weather conditions,excavation works – contact with services risk of explosion electrocution and flooding,soft and unstable and uneven and slippery ground and presence of debris,soft and unstable and uneven and slippery ground and presence of debris,nuisance to operativesand neighbours noise pollution,contamination of the existing watercourses fuel spillage,plantandoperative segregation,falls into excavations,public and pedestrians,public and pedestrians,excavation works – contact with services risk of explosion electrocution and flooding,slips trips and falls,falls into excavations,manual handling,falls into excavations,soft and unstable and uneven and slippery ground and presence of debris,nuisance to operativesand neighbours noise pollution,litter blowing around site windblown waste and litter,falls into excavations,collapse of excavations,contamination of the existing watercourses fuel spillage,waterborne diseases and infections – weils disease,public and pedestrians,collapse of excavations,plantandoperative segregation,collapse of excavations,collapse of excavations,excavation works – contact with services risk of explosion electrocution and flooding,waterborne diseases and infections – weils disease,contamination of the existing watercourses fuel spillage","trial hole excavation to be fenced off in accordance with on site safety procedures – excavations pedestrian barrier,work area fenced off,if the noise dba rating of the plant delivered to the job is over 85dba ear protection will be mandatory for all operatives working next to it,individuals must lift within their own capabilities,safe lifting techniques shall be applied,where there is need for manual handling; loads will be assessed by the individual staff to check ground conditions for hazards prior to moving loads across the working area,known services to be marked on site with spray paint,site manager to undertake regular assessment of ground conditions before each shift commences during and after heavy storms daily weather forecast to be available and provided to the site team during the morning brief operatives to cease work when conditions become unsafe and assess whether to supply rock salt,service location plans obtained and referred to,operatives to cease work when conditions become unsafe and assess whether to supply rock salt,no operatives to access soft and unstable ground until it has been made safe to do so ground conditions to be regularly monitored by site manager and operatives especially during and after heavy storms,noise levels of generator and all plant to be provided by manufacturer and recorded,refuel on plant nappy or drip tray,follow “working with and around plant” guidance notes assess working area prior to entering to check if any additional control measures are required ensure plant is parked in a safe flat area overnight considering how to prevent the plant moving and slipping when not in use,excavations to be fenced off in accordance with safety procedures,work area to be fenced off to prevent unauthorised access at all times,ensure walkways and segregation fencing is maintained at all times,excavation works to be covered by a permit to dig,keep walkways clear and work areas tidy,deep excavation signs to be displayed,two men must lift load if required and achievable,trial holes to be backfilled as soon as possible,be aware of the increased risks of tripping and slipping as the level of natural light fades work areas to be kept tidy at all times,hearing protection to be made available on request at 80db,site waste management plan developed enclosedandcovered skips and bins provided,work area fenced off and secured against unauthorised access,excavation sides to be made safe,spill kits available inspected regularly and maintained in good working order spill drill to be undertaken within 2 weeks of site setup,welfare facilities to be provided site personnel to be made aware of weil’s disease etc,appropriate warning signage to be implemented around site,to be determined on site by lead hand and site manager as work progresses,all operatives to approach a machine from the operators clear line of sight,shoring to be installed if necessary as work progresses,excavation depth should not exceed 1m approx,all trial hole excavation works to locate services to be undertaken by hand digging only,during site induction welfare facilities to be regularly cleaned and maintained cleaning rota to be produced site personnel to observe good hygiene practice and wash hand before drinking and smoking,fuel storage tanks either to be selfbunded refuelling undertaken within site compound only and no less than 10m away from watercourses"
excavate trial holes,"local landscape ecological features and inhabitants pollutionanddamage to ecological features and inhabitants due to use of hazardous substances,silt deposits pollution release of groundwater from excavations and rainwater run off,unplanned cutting down and damage to trees and hedgerows working around trees and hedgerows,poor workmanship reinstatement,local landscape petroleum products and refuelling operations,noise,litterandwaste blowing around site pollution due to site waste,noiseandair pollution disturbance to neighbours airandnoiseandfumes,silt deposits pollution release of groundwater from excavations and rainwater run off,local landscape ecological features and inhabitants concrete and cement products,noise,havs,local landscape ecological features and inhabitants pollutionanddamage to ecological features and inhabitants due to use of hazardous substances,litterandwaste blowing around site pollution due to site waste,noise,local landscape ecological features and inhabitants concrete and cement products,unplanned cutting down and damage to trees and hedgerows working around trees and hedgerows,local landscape ecological features and inhabitants pollutionanddamage to ecological features and inhabitants due to use of hazardous substances,silt deposits pollution release of groundwater from excavations and rainwater runoff,unplanned cutting down and damage to trees and hedgerows working around trees and hedgerows,noiseandair pollution disturbance to neighbours airandnoiseandfumes,local landscape ecological features and inhabitants concrete and cement products,local landscape petroleum products and refuelling operations,unplanned cutting down and damage to trees and hedgerows working around trees and hedgerows,dust,local landscape ecological features and inhabitants pollutionanddamage to ecological features and inhabitants due to use of hazardous substances,havs,local landscape ecological features and inhabitants pollutionanddamage to ecological features and inhabitants due to use of hazardous substances,litterandwaste blowing around site pollution due to site waste,unplanned cutting down and damage to trees and hedgerows working around trees and hedgerows,havs,local landscape ecological features and inhabitants pollutionanddamage to ecological features and inhabitants due to use of hazardous substances,local landscape ecological features and inhabitants pollutionanddamage to ecological features and inhabitants due to use of hazardous substances,unplanned cutting down and damage to trees and hedgerows working around trees and hedgerows,poor workmanship reinstatement,local landscape petroleum products and refuelling operations,dust,dust,unplanned cutting down and damage to trees and hedgerows working around trees and hedgerows,litterandwaste blowing around site pollution due to site waste,noiseandair pollution disturbance to neighbours airandnoiseandfumes,damage to trees and hedges,eye injuries,local landscape ecological features and inhabitants pollutionanddamage to ecological features and inhabitants due to use of hazardous substances,dust,noise,unplanned cutting down and damage to trees and hedgerows working around trees and hedgerows,local landscape petroleum products and refuelling operations,local landscape petroleum products and refuelling operations,eye injuries,silt deposits pollution release of groundwater from excavations and rainwater runoff,litterandwaste blowing around site pollution due to site waste,silt deposits pollution release of groundwater from excavations and rainwater runoff,dust,unplanned cutting down and damage to trees and hedgerows working around trees and hedgerows,havs,silt deposits pollution release of groundwater from excavations and rainwater runoff,local landscape petroleum products and refuelling operations,litterandwaste blowing around site pollution due to site waste,noise,local landscape petroleum products and refuelling operations,unplanned cutting down and damage to trees and hedgerows working around trees and hedgerows,silt deposits pollution release of groundwater from excavations and rainwater runoff,damage to trees and hedges,poor workmanship reinstatement,noise,havs,noise,silt deposits pollution release of groundwater from excavations and rainwater runoff,noiseandair pollution disturbance to neighbours airandnoiseandfumes,local landscape petroleum products and refuelling operations,noiseandair pollution disturbance to neighbours airandnoiseandfumes,damaged service underground services,damage to trees and hedges,local landscape ecological features and inhabitants pollutionanddamage to ecological features and inhabitants due to use of hazardous substances,noiseandair pollution disturbance to neighbours airandnoiseandfumes,silt deposits pollution release of groundwater from excavations and rainwater run off,havs,unplanned cutting down and damage to trees and hedgerows working around trees and hedgerows,silt deposits pollution release of groundwater from excavations and rainwater runoff,dust,noise,havs,havs,silt deposits pollution release of groundwater from excavations and rainwater runoff,damaged service underground services,poor workmanship reinstatement,damage to trees and hedges,damaged service underground services,havs,local landscape ecological features and inhabitants pollutionanddamage to ecological features and inhabitants due to use of hazardous substances,silt deposits pollution release of groundwater from excavations and rainwater runoff,noiseandair pollution disturbance to neighbours airandnoiseandfumes,eye injuries,litterandwaste blowing around site pollution due to site waste,litterandwaste blowing around site pollution due to site waste,noise,local landscape petroleum products and refuelling operations,eye injuries","substances shall not be used if there is no label on the container,ensure surface water and land drainage plans are available prior to works commencing where possible,only clear vegetation that is necessary vegetation assists with draining of the land,final reinstatement must be to the hauc specification,refuelling of mobile plant must be in designated areas away from drains and watercourses,use a less noisy process if possible,reuse materials or use materials that can be reused many times,limit working hours,monitor weather forecasts and plan work accordingly,ensure contained area for washing out ready mix lorries and the cleaning of equipment is made available onsite,all plant and machinery must be switched off when not in use if possible move the noise source away from the work area or move the work area away from the noise,keeping warm and dry especially the hands also helps,fire first aid and spill cleanup equipment and containment measures shall be available appropriate to the hazardous substances encountered on site,take waste off site frequently; do not allow large quantities to accumulate,if possible shield noisy processes work behind sound absorbing materials such as spoil heaps or straw bales,discharge of concrete or cement residues into the foul sewer must be by consent of the sewage undertaker,check with local authority before removing any trees or hedges tree preservation orders may be in place,all persons shall seek information from line management where they are unsure of procedures and control measures when working with a new or unfamiliar hazardous substance,use appropriate pump rates to avoid disturbance to the bed or bank,wherever possible trenchless techniques should be used,use soundproof matting to limit noise levels,mixing and washing areas to be a minimum of 10mtrs from a known watercourse or surface water drain to minimise the risk of run off entering a watercourse,don’t overfill mobileandstatic plant,park plant and machinery in designated areas away from trees and hedgerows,face fit dust masks must be worn during all cutting operations,all persons shall only use fire first aid and spill cleanup equipment if they are competent to do so,wear ppe,coshh assessments for each substance on the register shall be maintained in the site qes file,ensure site specific waste management plan has been developed,do not use excavators close to tree canopies hand dig only around root balls,adopt a comfortable stance when using vibrating tools – tense muscles increase ill effects,all persons shall read the hazardous substance container labels to identify the health risk,all persons shall follow control measures contained within rams,use an approved landscape contractor when carrying out treeandhedge removal or branch loping,recycled materials must have the approval of the local highway authority,install armoured hoses where possible,where it is possible the job should be planned to eliminate harmful dust and fumes,consider the effects that your work may be having on other people,following guidance when working around trees and hedges,enclosed skips and bins shall have the appropriate signage displayed,turn off engines when not in use,follow guidance when working around trees and hedges,ensure eye protection is clean and scratch free where possible,where exposure monitoring has been identified as a control measure on the coshh assessment people shall not be exposed to the substance,tools and plant that are fitted with dust extraction and collection devices must be used,don’t keep machinery running unnecessarily,keep fuel storage areas oils and potential pollutants away from tree root systems,use bunded fuel tanks or bowsers making sure they can hold the available capacity before refuelling,fuels carried in approved containers and no more than 2 gallons per vehicle at any one time,keep your safety eyewear in good condition and have it replaced if it becomes damaged,use settlement tanksandlagoons to filter dirty water long enough for silts to settle out prior to release where possible,store waste materials in skips provided and away from watercourses and surface water drains,regularly check watercourses that could be affected by dewatering operations or rainwater run off,if your employer has provided portable extraction equipment use it,set up exclusion zones around trees wherever possible,when using a tool which causes vibration break the job up with other work activities,ensure hardstanding’s are kept clean and tidy and swept on a regular basis,smoking permitted in designated areas only,recycle waste materials where possible,where noise levels exceed 85dba ear defenders must be provided and worn,fire extinguishers available in cabins and vehicles,don’t store plant and materials underneath tree canopies,construct earth bunds using excavate material to prevent siltandrainwater runoff,wherever possible trenchless techniques should be used,backfill and compact excavated ground in layers,try not to expose workmates to excessive noise warn them when you are about to create noise,if available select tools with vibration absorbing features for your work,ensure breaker mufflers are correctly fitted,do not strip land of all its vegetation unless it’s necessary vegetation prevents runoff,service plant and vehicles on a regular basis,check hoses and valves on a regular basis and lock when not in use,use super silenced generators and plant where possible,ensure site drawings are available onsite and up to date,use alternative excavation methods,coshh assessments for current tasks shall be available in offices and site welfare units work in accordance with environment agency pollution prevention guidelines,turn exhausts away from neighbours,use filtration systems to control runoff as close to its origin as possible by slowing down flows,only use well maintained powered hand tools and attachments,ensure hedgerow surveys are carried out during the bird nesting season,divert siltandrainwater runoff using sandbags or straw bales towards filtration systems,use dust suppression equipment where extraction is not possible,keep compressor covers closed when in use,if you think you are suffering ill effects from vibration stop the activity speak to your supervisor and if necessary seek medical advice,damaged or faulty equipment must be quarantined or removed from site,silt fences cut off trenches and french drains,mark up identified underground services with spray paint or wooden pegs pushed into the ground,approved aggregates to be used when backfilling,set up exclusion zones around trees,cat scan area before excavating trial holes,where possible use equipment that eliminates the need for hand held tools,all persons shall wear the ppe and and or rpe designated as necessary in the rams,work in accordance with environment agency pollution prevention guidelines ppg5,use dust suppression equipment,wear the correct eye protection for the task in hand,segregate different waste materials and do not mix or dilute hazardous wastes,provide suitable containers of sufficient capacity to avoid loss overflow or spillage,if shouting is necessary to be heard the noise level is high and you should wear ear protectors,use drip trays and spill kits,never wear light eye protection when using cutting equipment"
excavation 3 x tee connection on fe main,"service strike,collapse of excavation,slips trips and falls,service strike,collapse of excavation,slips trips and falls,collapse of excavation,refuelling,service strike","a permit to dig will be in place this is to be issued on the day of the work commencing by the site supervisor,operatives will not enter the excavation until the excavation has been reviewed by representative,work area to be kept clean and tidy at all times,area to be excavated plus a two metre perimeter will be cat scanned prior to dig commencing and continued throughout the dig,all spoil will be stored at least 1,all trip hazards removed immediately,the condition of the excavation to be monitored before and during excavation activities and before the start of all working periods; all work where practicable will be completed from the outside of the excavation,all refuelling procedures will be carried out over a plant nappy with a spill kit on hand to contain any spills not handled by plant nappy,due to no service drawings being available then hand digging only is to be implemented"
excavation shutters mesh and concrete,"damage to services,existing services,manual handling small plant and materials,contamination of soil water course and ground,existing services,manual handling small plant and materials,manual handling small plant and materials,plant movement,burns eye injuries from concrete,excavation possible claps and fall of materials,existing services,excavation fencing and site signage,damage to services,loss of species locally great crested newts,existing services,excavation fencing and site signage,inhalation of sawdust while cutting timber,damage to integrity of the concrete cold weather,contamination of soil water course and ground water concrete wash out,injuries from splinters when handling timber,weather conditions,existing services,trip slips and falls,coshh,contamination of soil water course and ground,plant movement,excavation possible claps and fall of materials,trip slips and falls,working next to structure and services,excavation possible claps and fall of materials,structural specification wrong incorrect material delivery,walking around site to work locations,inhalation of sawdust while cutting timber,damage to services,loss of species locally great crested newts,trip slips and falls,hand injuries when cutting timber with hand saw,faulty and incorrectly used detector,havs,contamination of soil water course and ground,contamination of soil water course and ground,excavation possible claps and fall of materials,eye injuries while cutting timber,hand injuries when cutting timber with 110volt circular saw,excavation fencing and site signage,contamination of soil water course and ground,existing services,excavation fencing and site signage,hand injuries when cutting timber with 110volt circular saw,burns eye injuries from concrete,walking around site to work locations,noise,working next to structure and services,trip slips and falls,structural specification wrong incorrect material delivery,rework of shutters shutters incorrect size,rework or replace slab finish to top of concrete,injuries from splinters when handling timber,hand injuries when cutting timber with hand saw,manual handling small plant and materials,manual handling small plant and materials,coshh,inhalation of sawdust while cutting timber,havs,contamination of soil water course and ground,plant movement,injuries from splinters when handling timber,existing services,existing services,use of hand tools,loss of species locally great crested newts,faulty and incorrectly used detector,excavation possible claps and fall of materials,contamination of soil water course and ground,hand injuries when cutting timber with hand saw,rework required deflection of shutters during pour,coshh,weather conditions,contamination of soil water course and ground,burns eye injuries from concrete,plant movement,faulty and incorrectly used detector,damage to services,noise,plant movement,working next to structure and services,noise,hand injuries when cutting timber with 110volt circular saw,coshh,existing services,structural specification wrong incorrect material delivery,finished concrete level incorrect rework required line and level of shutters","the service might look ok but can cause a hazard later for other workers,report to site manager and follow the emergence procedures,all uneven ground will be levelled out further guidance refer to hands manual handling at work,plant nappies and spill kits to be in place at all times,all overheads are to be protected with goalposts and signs,use mechanical handling equipment,all operatives must be trained in manual handling operatives must be fit to carry out the tasks if twoman lifting is being used match the operatives for size and abilities to do the task,operatives to stay well clear of plant at all times if possible operator to keep mirrors and windows clean to aid visibility,goggles to be worn at all times when working with concrete,designed support systems to be used one off small excavations can be cut with maximum 1 metre steps short term working only,if any services are damaged the area must be cleared and secured without delay,deep excavation signs will be erected on all four sides of the fencing,if any service is damaged repair work can only be done by site operatives if they are trained for this work and no danger of injury is present,all foliage stripping will be monitored by an ecologist by way of watch and brief,trial holes will be excavated to uncover the services,fencing to be delivered close to area of work manual handling to be reduced use mechanical aids signage to be mounted on sign boards and fencing all excavations up to 1metre deep will have metal pedestrian barriers in place as edge protection,minimum standard of mask must be ffp3 and operatives face fitted for the one being used,temperature must be 4 above freezing and rising ensure frost blanket materials are on site to cover the concrete preferred action put pour on when weather is warmer no risk of frost,any concrete left over will be placed on a polythene sheet and used to form hard standings and storage areas washing out will not be permitted on site,gloves must be in good condition free of tears and holes,water pump on site if required,isolate the service only if fully trained and it is safe to do,signs informing users to hold the hand rails,full ppe required will be on site for issue and must be used correctly and kept in good condition,fuel tanks to be kept locked at all time to stop unauthorised access,assess light condition before plant going out on to site do not walk up blind side of machine,5 metres away from the edge of the excavation,any tools and materials not being used out on site should be returned to the storage area,consideration should be given for temporary works design for some requirements,plant tools and materials to be kept 1m apart,if the load is not what was ordered the load must be returned to the supplier site manager to call concrete plant and reorder the load,do not enter any restricted areas unless permitted to do so report all issues with any walkways,if not face fitted work will be suspended until face fitting has been completed,call service provider inform cosc if the service affects water quality or supply,work will stop if any are found and further instructions will be given,all cables to be safely situated to remove the risk of tripping,take extra precautions,check detectors daily before use for damage and calibration is in date,all hand held and mobile plant to be assessed for vibration ratings system to be checked for any operatives with havs restriction times or exempt from use daily and weekly havs sheets to be given to operatives so they can record trigger times,any problems found must be reported and resolved immediately,tanks to be inspected daily for leaks and damage,all excavated materials are to be kept at least 1,goggles to the worn always when cutting timber with a powered saw light eye spectacles when cutting with a hand saw goggles and spectacles must be in good condition and free from scratches,do not use cut resistant gloves for working with power saw recommended on manufactures packaging not to be used on machinery,no excavation over 1 metre will be left open overnight unless it has been benched or graded to on site safety procedures standards or designed support system installed,all oil containers are to be securely locked away to stop unauthorised access,the work area will be out of bounds until the service has been repaired and the area is handed back as being safe by the service provider,all excavations over a metre deep will have edge protection and heras fencing with double clips,use general handling gloves to a standard of en388,gloves must be of full rubber construction with no knitted wrist cuff,use dedicated walkway as given on cdm layout monitor walkways and report any defects be aware of your surroundings as you move around the site,if the rating of the working machine is assessed on the morning it arrives as over 85dba ear protection will be mandatory for the operatives working next to it,no excavations will be permitted to undermine any structure,good housekeeping to be maintained at all time rutted and uneven surfaces are to be levelled out and compacted all tools and materials to be kept tidy,delivery ticket to be checked by site manager or lead hand on arrival,check footing drawing double check measurements before cutting timber,do not deviate from this,use general handling gloves,standard required en 388 code 304272 gloves must be in good condition free of tears and holes,the area must be kept clear of any debris,assess weights of loads,full briefing to be given before any substance is used,use dust suppression devices if possible keep area well ventilated at all times if possible keep working area clear of sawdust by cleaning up as work is progressing use correct dust masks or hoods when cutting with powered hand tools,find alternative method to do the task if possible rotate operatives to reduce trigger times use correct ppe gloves and keep hands warm and dry,spill kits and fire extinguishers to be in place at all time,do not pass machines unless the driver has acknowledged you and advised to pass,do not use lightweight gloves,contact service provider giving full details of the service and damaged caused,all services found will be clearly marked on the ground for all to see,use correct tool for the task do not improvise or alter a tool to do a task check them daily for damage or excessive wear do not use if not in good condition replace them powered tools must be pat tested wear the correct gloves for the task,newts will be relocated to a safe habitat by the ecologist,only trained operators to use the equipment,excavation support equipment will have a minimum rise above ground level of 150mm to act as a kick board and edge protection fitted,all containers must be purpose made with tops in place and secure,cut resistant gloves must be worn when using hand saw,bracing timbers to be securely installed on all sides of the shutter check installation on prepour sheet monitor shutters during pour if any deflection is observed stop the pour and reinforce bracing,all substances to be stored as given in the manufacturers recommendations data sheets and assessments to be on site for all substances,daily assessment of ground conditions cease work when conditions unsafe be aware of surroundings during windy weather for possible flying debris or falling tree branches,refuelling of excavator will be done using fuel cans and a funnel,alphatec gloves or similar long sleeves must be worn to protect the arms safety wellingtons to be worn and no kneeling in wet concrete at any time full ppe is required for this task,attract drivers attention before approaching machine use plant with fitted cameras if possible banksman with machines at all time include plant working areas in the morning briefings,do a daily check on known services to ascertain if the device is locating correctly,do not hide any damage to services no matter how small,the noise rating of the machine will be marked on a plate fixed to the side of the machine,driver to place bucket on the ground and apply the dead man lever,no excavations will be permitted to undermine any structure,noise levels of the working machine will be assessed and ear protection offered to those working in close proximity of the machine,gloves must be in good condition free of tears and holes,any training required to use the substance will be carried out before work commences,size type depth and number will be placed on an as built drawing for future reference,do not use concrete that is not the correct specification under any circumstances,check setting out as given on drawing complete pre pour check sheet complete any remedial works if required"
excavation work near rail,"staff being struck by a train or otm,staff being struck by a train or otm,staff being struck by a train or otm,staff being struck by a train or otm,staff being struck by a train or otm,staff being struck by a train or otm","pts trained workforce and supervision,pos representation system of work and ensure clear understanding of responsibilities,operatives briefed by the coss on the safe system of work,operatives briefed by the coss on the safe system of work,ensure safe system of work ssow in place applicable to the task activity,coss appointed for works on or near the line"
excavator use digester sludge plinths and ducts,"lost load or bucket to quick hitch failure,lost load or bucket to quick hitch failure,lost load or bucket to quick hitch failure,lost load or bucket to quick hitch failure,lost load or bucket to quick hitch failure,lost load or bucket to quick hitch failure,lost load or bucket to quick hitch failure,lost load or bucket to quick hitch failure","choice of equipment and requirements to be assessed with regard to ground conditions and local operational requirements,trained competent operators only cpcs redandblue card holders,6913: operation and maintenance of earth moving machinery,compliance with british standards including: 5228: noise ona construction site,6912: safety in earthmoving machinery,the planned procedure,choice of equipment and requirements to be assessed with regard to ground conditions and local operational requirements,trained competent operators only cpcs redandblue card holders"
excavator use gas bag area,lost load or bucket to quick hitch failure,6913: operation and maintenance of earth moving machinery
footpath improvement works,slips trips and falls,any debris to be placed into rubble bags and removed from site
forward tipping dumper use,"injury or death due to being struck,injury or death due to being struck","trained operators only cpcs redandblue card holders,stop boards required at"
